input_sentence_1;input_sentence_2;input_sentence_3;input_sentence_4;sentence_quiz1;sentence_quiz2;answer_right_ending
ཀ་ཊ་རེན་ནི་དུས་རྟག་ཏུ་ཀཱར་ལིང་གི་རྩེད་རིགས་ལ་དགའ་པོ་ཡོད། ;ཀ་ཊ་རིན་གྱིས་རྒྱང་མཐོང་ཐོག་རྩེད་རིགས་ཀྱི་རྩེད་འགྲན་པ་ཚོར་ལྟ་བར་དགའ། ;ཉིན་ཞིག་ཀཱ་ཊ་རིན་གྱིས་ཀཱར་ལིང་གི་སྦྱོང་བརྡར་ཞིག་ཏུ་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;སྦྱོང་བརྡར་སྐབས་རྩེད་འགྲན་པ་ཞིག་གིས་ཀ་ཀྲེ་རིན་ལ་རྩེད་འགྲན་བྱེད་པར་བོས་པ་རེད། ;དེ་ནས་ཀ་ཀྲ་རིན་གྱིས་ཉིན་རེར་སྦྱོང་བརྡར་བྱས་པ་དང་། ཁོ་ལ་དེ་བས་ཀྱང་མཁས་པ་བྱུང་སོང་། ;ཀ་ཊ་རིན་གྱིས་བསམ་ཚུལ་ལྟར་ན། ཀར་ལིང་ནི་དགུན་པོ་ཞིག་རེད་འདུག ;1
ཕར་སི་ནི་སི་ (Francis) ནི་དུས་རྟག་ཏུ་ཇོ་ཆེར་སློབ་སྦྱོང་བྱེད་འདོད་འདུག ;མཇུག་ཏུ་ཁོ་ནི་ལོ་ན་ཆེ་བ་ཞིག་ཏུ་གྱུར་ནས་དེད་དཔོན་གྱི་ལག་ཁྱེར་ལེན་ཐུབ་པ་རེད། ;ཕར་ནསི་སི་གྱིས་ལག་ཁྱེར་འཐོབ་ཆེད་ཧ་ཅང་དཀའ་ལས་བརྒྱབ་ཀྱི་ཡོད། ;ཁོང་རང་གི་ཇོ་ཆུའི་བརྟག་དཔྱད་དེ་འཇམ་ཏོང་ནས་ཕབ་སོང་། ;ཕར་སི་ནི་རང་གི་གྲུབ་འབྲས་ལ་སྤོབས་པ་ཆེན་པོ་ཡོད། ;ཕར་སི་ནི་སི་གིས་ མི་མང་སྐྱེལ་འདྲེན་གྱི་ལམ་དེ་ རྒྱུན་འགྲུལ་ལེགས་པར་བྱེད་འདོད་འདུག ;1
ཁ་སང་ང་ The Nutcracker ལྟར་ལྟ་བ་ལ་དགའ་པོ་བྱུང་། ;ངས་དེ་ལ་ཧ་ཅང་དགའ་པོ་བྱུང་། ;ཞབས་བྲོ་བ་རྣམས་ཀྱིས་ཁྲབ་སྟོན་ཁང་གི་ཐོག་ནས་ཞབས་བྲོ་སྟོན་པའི་སྐབས་དེ་ནི་མཛེས་སྡུག་ཅན་ཞིག་རེད། ;ངས་བརྙན་སྟོན་དེ་མཐོང་བར་དགའ་པོ་བྱུང་། ;ངས་སླར་ཡང་མི་མཐོང་བར་དམ་བཅའ་བྱས་པ་ཡིན། ;ངས་ཡང་བསྐྱར་བལྟ་འདོད་བྱུང་། ;2
ངས་སྔ་དྲོ་ཆུ་ཚོད་ ༨།༣༠ ཐོག་སློབ་གྲྭར་འགྲོ་རྒྱུར་གཉིད་སད་བྱུང་། ;ངས་གཉིད་ཁུག་ནས་ཉལ་ཁྲི་ནས་ཐོན་ཏེ་ཆུ་སྦང་བྱས་པ་ཡིན། ;ངས་མྱུར་དུ་ཁ་ཟས་ཟ་ཞིང་སློབ་གྲྭར་འགྲོ་བ་རེད། ;ཆུ་ཚོད་ ༥༠ གྱི་སློབ་སྦྱོང་བྱས་རྗེས་ང་ངའི་སློབ་གྲྭའི་ནང་དུ་ལོག་སོང་། ;ངས་སླར་ཡང་སློབ་གྲྭར་འགྲོ་རྒྱུའི་ཐག་བཅད་པ་ཡིན། ;ངས་དེར་སླེབས་རྗེས་གོམ་པ་གཅིག་ལ་ཉལ་བ་ཞིག་བྱས། ;2
གེ་རི་ཡིས་ལི་སཱའི་དོ་སྣང་འཕྲོག་འདོད་བྱུང་། ;ཉིན་ཞིག་ཁོང་གིས་ལི་ས་ལ་སྙན་ངག་ཞིག་འབྲི་རྒྱུའི་ཐག་བཅད། ;གྷ་རི་ལ་དགའ་བསུ་ཞུ། ;གེ་རི་གྱིས་ལི་ས་ལ་ཁ་བ་ཆེན་པོ་ཞིག་བཏང་ནས་སྙན་ངག་དེ་སྤྲད་པ་རེད། ;གེ་རི་གྱིས་ལི་ས་ལ་རྡེག་རྡེག་ཤུགས་ཆེན་པོ་བཏང་ནས་སོང་ངོ་། ;ལིས་ས་ཀྱང་གྷ་རི་ལ་སེམས་ཤོར་ཡོད་པ་ཁས་ལེན་བྱས་འདུག ;2
ཀར་ལོས་རྟག་ཏུ་ཕ་རན་སི་ལ་འགྲོ་འདོད་འདུག ;ཁོང་འགྲོ་མ་ཚར་སྔོན་ལ་ཕ་རན་སིའི་སྐད་སྦྱངས་དགོས་ཞེས་ཐག་བཅད་པ་རེད། ;ཁོང་དགོང་དྲོའི་སློབ་གྲྭར་ཞུགས་ཏེ་ཧ་ཅང་བརྩོན་ཤུགས་ཆེན་པོས་སློབ་སྦྱོང་བྱེད་བཞིན་འདུག ;མཐའ་མར་ཀར་ལོས་ཕ་རན་སིའི་སྐད་ཡག་པོ་སྨྲ་ཐུབ་སོང་། ;ཀར་ལོས་ཨོ་སི་ཊོ་ལི་ཡ་ལ་གནམ་གྲུ་ཞིག་ཉོས་པ་ཡིན། ;ཀར་ལོས་ཕ་རན་སིའི་སྐད་ཀྱི་ཤེས་ཡོན་གང་མང་པཱ་རི་སིའི་འགྲུལ་བཞུད་སྐབས་སྤྱོད་ཐུབ། ;2
ལ་ར་སི་ནི་དུས་རྟག་ཏུ་ པར་ལེན་ལ་བརྩོན་འདོད་ཡོད་པ་རེད། ;ཁོང་རང་གི་གྲོགས་པོ་ནི་ པར་ལེན་མཁས་པ་ཞིག་ཡིན་མོད། འོན་ཀྱང་ཁོས་དེ་སྔ་ནམ་ཡང་ པར་ལེན་མ་མྱོང་བ་རེད། ;ཉིན་ཞིག་ཁོང་གིས་གློག་བརྙན་ཆུང་ཆུང་ཞིག་ཉོས་ཀྱང་ ཚད་ལྡན་ཞིག་རེད། ;ཉིན་དེ་ནས་བཟུང་། ལར་སིས་ཉིན་རེར་རང་བཞིན་གྱི་རི་མོ་རྣམས་བརྙས་སོ། ;ལ་ར་སི་ནི་ པར་རིས་ལ་དགའ་པོ་བྱུང་སོང་། ;ལ་ར་སི་ནི་པར་ལེན་པར་སྡང་པོ་བྱེད་ཀྱི་ཡོད། ;1
ངས་གློག་ཆས་ཚོང་ཁང་ནས་གློག་ཀླད་ཞིག་ཉོས་པ་ཡིན། ;འདི་ནི་ཁ་དོག་ཆེ་བའི་བརྙན་ཞིག་རེད། ;ལས་མི་དེས་ང་ལ། ཇི་བྱུང་ངེས་དོན་གྱི་ཆེད་དུ་གོང་ཚད་རྒྱབ་པའི་ཁས་ལེན་ཞིག་ཉོས་པར་བསྐུལ་བ་རེད། ;དེ་ནས་བདུན་ཕྲག་གཅིག་གི་རྗེས་སུ་ངའི་ཁང་པའི་རྩིག་པའི་ཐོག་ནས་བརྙན་འཕྲིན་ཕུད་ནས་ཆག་སོང་། ;ངས་དེ་དང་མཐུན་པའི་འགན་ལེན་གྱི་ཐོག་སྒྲིག་འཇུག་ཐུབ་པ་ཡིན། ;ལས་བྱེད་པ་དེ་རྗེས་སུ་འདས་གྲོངས་སུ་གྱུར་འདུག ;1
རའེ་ཡན་ནི་ལྡུམ་ར་ཞིག་ཏུ་བསྡད་ཡོད་ཅིང་། ;དེ་ནས་ཁོང་གིས་བུད་མེད། བུ་མོ་ཆུང་ཆུང་ཞིག་ཡོད་པ་ཞིག་མཐོང་ནས། ;ཁོང་ལྡུམ་ར་ནས་ཐོན་པའི་སྐབས་ཤིང་སྡོང་ཞིག་ཏུ་ཆགས་པའི་རླུང་གིས་གང་བའི་མེ་ལོང་དེ་མཐོང་ངོ་། ;ཁོ་ཤིང་སྡོང་དུ་འཛེགས་ཏེ་རླུང་གིས་ཁེངས་པའི་ཕུག་དེ་ལེན་པར་ཕྱིན་པ་རེད། ;དེ་ནས་ར་ཡ་ན་གྱིས་དམིགས་བསལ་གྱི་ངང་ནས་རླུང་གིས་འཕང་བ་རེད། ;དེ་ནས་ར་ཡ་ན་གྱིས་བུ་མོ་དེ་རྙེད་ནས་མོ་ལ་རླག་སོང་བའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པའི་རླུང་གིས་ཁེངས་པ་ལྟ་བུ། ;2
ཡེན་གྱི་ལས་འཛིན་པས་མོ་ལ་རང་གི་ངོ་སྤྲོད་ཡིག་ཆ་སྤེལ་དགོས་ཅེས་ལབ་པ་རེད། ;མོ་རང་གི་རྩོམ་སྒྲིག་འདི་འདྲ་མིན་པ་ཤེས་བྱུང་། ;མོ་ཡིས་ནང་དོན་ཚང་མ་ ཚད་ལྡན་བཟོ་རྣམ་ལ་སྤེལ་བ་རེད། ;མོ་རང་གི་ལས་ཀ་གསར་པའི་སྐོར་གྱི་གནས་ཚུལ་ཁ་སྐོང་བྱས་ཏེ། རང་ཉིད་ལ་གསར་དུ་སྦྱར་བའི་རྩོམ་ཡིག་ཞིག་བཀོད་འདུག ;དེ་ནས་མོ་དེས་རང་གི་ལས་འཛིན་པར་བཏང་། ;ཇེན་གྱིས་སྣོད་འཁྲུ་བ་ལ་མི་དགའ་བ་རེད། ;1
ནིལ་གྱིས་གྲོང་ཁྱེར་ཕེསི་ (Fez) སྐོར་བསྐྱོད་བྱེད་བཞིན་འདུག ;ཁོང་ཚོས་ཡུལ་མིའི་ཟས་ཀྱི་བྲོ་བ་ཡང་མྱོང་། ;དེ་ནས་ཁོ་ནི་དྲན་རྟེན་གྱི་དངོས་པོ་ཉོ་ཕྱིར་སོང་ངོ་། ;Fez ནང་ཡང་ལམ་གྱི་རོལ་མོ་མཁན་ཆེན་པོ་ཡོད་ཅེས་ཁོང་གིས་བཤད་འདུག ;ནིལ་ལ་དུས་བདེ་པོ་བྱུང་། ;ནིལ་དང་ཕེཛ་གཉིས་གྲོགས་པོ་ཆེ་ཤོས་སུ་གྱུར་བ་རེད། ;1
ངས་ཁྱི་ཞིག་འཁྱམས་པར་འཁྲིད་དགོས་བྱུང་། ;ངའི་ཉེ་འཁོར་གྱི་མི་ཚོས་ཐག་པ་བཏགས་དགོས་ཀྱི་འདུག ;ངས་ངའི་ཁང་པའི་ནང་དུ་ཐག་པ་འཚོལ་བཞིན་བསྡད་ཡོད། ;ངས་དེ་རྙེད་མ་བྱུང་། ;ངས་ཁྱི་དེ་ཁྱམས་ར་ནང་བསྐྱོད་པར་ཐག་བཅད་པ་ཡིན། ;ངས་ཁྱི་དེ་ཁྱིམ་དུ་བཅུག་པ་ཡིན། ;1
ཉིན་མོ་དེ་ཉི་མ་འོད་ལྡན་ཞིང་དྲོ་པོ་འདུག ;དེ་འདྲ་སོང་ཙང་ཡོ་ཡིས་ཕར་འགྲོ་བཞིན་ན་ལེགས་པ་རེད་སྙམ་སོང་། ;ཁོང་རང་གི་ས་གནས་ཀྱི་ཁེ་ཕའི་ཁང་དུ་རྐང་པ་འཁྱམས་ནས་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;འོན་ཀྱང་ལམ་ཕྱེད་ཀ་ཙམ་ལ་ཁོ་ཡིད་ཐང་ཆད་པ་རེད། ;དེ་འདྲ་སོང་ཙང་ཁོང་ནི་ཁེ་ཕེཊ་ཁང་དུ་རྒྱུག་སོང་། ;ཇོ་ཡིས་ཕྱི་རུ་སོང་བར་འགྱོད་པ་རེད། ;2
ཡེན་ནི་ཉིན་གང་སྒོས་ནས་བསྡད་ཡོད། ;མཇུག་ཏུ་མོ་ཡིས་ UPS ཀྱི་ལས་བྱེད་པ་དེ་སྒོའི་ཕྱོགས་སུ་ཡོང་བ་མཐོང་ངོ་། ;ཁོང་དེས་སྣོད་དེ་སྐྱེལ་ནས་མོ་ནང་དུ་འཁྱེར་སོང་། ;མོ་ཡིས་གྲི་ཞིག་ལག་ཏུ་བླངས་ཏེ་ཁ་ཕྱེས་པ་རེད། ;ཙེལ་པོ་དེའི་ནང་དུ་ཕྲུ་གུ་གསར་སྐྱེས་ཞིག་ཡོད། ;Jen ཀྱིས་གོས་གསར་པ་དེ་དེད་སྣོད་ཀྱི་ནང་དུ་རྙེད་བྱུང་། ;2
ཕར་ནེཀ་གིས་རང་གི་ལས་འགན་སྒྲུབ་འདོད་མ་བྱུང་། ;ཁོ་ལ་གློག་བརྙན་རྩེད་མོ་རྩེད་འདོད་འདུག ;ཕན་ཀིན་གྱི་ཕ་མ་གཉིས་ཀྱིས་ཁོ་ལ་ཐོག་མར་ལས་ཀ་བྱེད་དགོས་ཞེས་ལབ་པ་རེད། ;ཕར་ནེཀ་ལ་ཁོང་ཁྲོ་ལངས་ཏེ་ཉེས་ཆད་ཕོག་པ་རེད། ;ཕརེན་ཀིས་དུས་ཡུན་བདུན་ཕྲག་གཅིག་གི་རིང་ལ་གློག་བརྙན་རྩེད་ཆས་རྣམས་སྤངས་པ་རེད། ;ཕརེན་ཀིས་རྩེད་མོ་གསར་པ་ཞིག་ཐོབ་འདུག ;1
ཐིམ་ཕུ་སློབ་གྲྭ་ནང་ སྐུགས་༣ གྱི་འགྲན་བསྡུར་ནང་ བཅའ་མར་གཏོགས་པའི་སྐབས་ ;རྒྱལ་ཁ་ཐོབ་མཁན་ལ་སློབ་གཉེར་གྲོགས་རམ་དངུལ་སྒོར་ ༡༠༠༠ ཐོབ་རྒྱུ་རེད། ;ཐིམ་མི་ནི་ངལ་གསོའི་ཉིན་མོ་ཆ་ཚང་ནང་ལ་དེད་རྟགས་གསུམ་གྱི་སྦྱོང་བརྡར་བྱས་པ་ཡིན། ;འགྲན་བསྡུར་གྱི་ཉིན་མོ་སླེབས་སྐབས་ཁོང་གྲ་སྒྲིག་ཡོད་པ་རེད། ;ཐིམ་མི་གྱིས་འགྲན་བསྡུར་ལ་རྒྱལ་ཁ་ཐོབ། ;ཐིམ་པི་ནི་འགྲན་བསྡུར་གྱི་ཉིན་མོ་དེར་འགྲན་རྩེད་ཁང་དུ་སོང་བ་ཡིན། ;1
